Unnamed: 0_per,Year,Name,Age,Team,Position,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards_per,Unnamed: 0_adv,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards_adv,All_Star,Trend_Score
3394,2019,JJ Redick,34,PHI,SG,76,63,0.6836461126005361,0.4661016949152543,0.4770992366412214,0.3444976076555023,0.627450980392157,0.6060606060606061,0.397,0.2336448598130841,0.2314814814814814,0.4965034965034967,0.6244019138755982,0.2871287128712871,0.2704918032786885,0.8461538461538463,0.0399999999999999,0.1636363636363636,0.1168831168831168,0.2260869565217391,0.1111111111111111,0.0625,0.2,0.3513513513513513,0.4842406876790832,0,3392,2379,0.4177631578947368,0.665809768637532,0.6693181818181818,0.2179226069246436,0.028735632183908,0.0987654320987654,0.0515021459227467,0.2043010752688172,0.0769230769230769,0.6,0.1258278145695364,0.4358974358974359,0.4069767441860464,0.1595744680851063,0.323943661971831,0.4912718204488777,0.547486033519553,0.1216216216216216,0.3720930232558139,0.2708333333333333,0,0.0,0.0
2837,2020,Joel Embiid,25,PHI,C,51,51,0.6353887399463806,0.6016949152542374,0.5610687022900763,0.4330143540669856,0.2156862745098039,0.2575757575757575,0.331,0.5700934579439253,0.5416666666666667,0.5314685314685317,0.5167464114832535,0.6732673267326733,0.6885245901639344,0.7198838896952104,0.5399999999999999,0.7727272727272728,0.7142857142857142,0.2521739130434782,0.2962962962962963,0.40625,0.5272727272727273,0.8108108108108109,0.6246418338108882,AS,2966,1506,0.7697368421052632,0.6349614395886888,0.2443181818181818,0.5183299389002037,0.5689655172413793,0.9012345679012348,0.8068669527896996,0.2759856630824373,0.282051282051282,3.7,0.3145695364238411,0.7492877492877492,0.3313953488372093,0.3191489361702128,0.3286384976525821,0.6758104738154612,0.6312849162011174,0.527027027027027,0.5813953488372092,0.3541666666666667,AS,1.0,0.0
1222,2023,P.J. Washington,24,CHO,PF,73,73,0.7184986595174262,0.4661016949152543,0.4732824427480916,0.354066985645933,0.3921568627450981,0.446969696969697,0.348,0.3364485981308411,0.3194444444444445,0.533799533799534,0.5358851674641149,0.1584158415841584,0.1885245901639343,0.6081277213352685,0.18,0.3181818181818182,0.2792207792207792,0.1999999999999999,0.2962962962962963,0.34375,0.2363636363636363,0.5945945945945946,0.4154727793696275,0,1174,2380,0.3453947368421053,0.5115681233933164,0.4977272727272728,0.1466395112016293,0.160919540229885,0.2777777777777778,0.2188841201716738,0.1702508960573477,0.2564102564102564,2.9,0.1688741721854305,0.3988603988603989,0.1627906976744186,0.2659574468085107,0.1690140845070422,0.3266832917705735,0.3687150837988827,0.3513513513513513,0.3023255813953488,0.2083333333333333,0,0.0,0.0
3513,2019,Wayne Ellington,31,,SG,53,38,0.5013404825737264,0.2627118644067797,0.2900763358778626,0.2559808612440192,0.5098039215686275,0.5303030303030303,0.371,0.0560747663551401,0.0462962962962963,0.5874125874125875,0.6172248803827752,0.0594059405940593,0.0655737704918032,0.7039187227866475,0.0399999999999999,0.1272727272727272,0.0909090909090909,0.1130434782608695,0.3333333333333333,0.03125,0.1090909090909091,0.3513513513513513,0.2607449856733524,0,3567,1297,0.3092105263157895,0.5809768637532132,0.925,0.0743380855397148,0.0402298850574712,0.1203703703703703,0.0686695278969957,0.1218637992831541,0.4358974358974358,0.4,0.1125827814569536,0.301994301994302,0.2151162790697674,0.1808510638297872,0.1690140845070422,0.4389027431421446,0.4078212290502793,0.4324324324324323,0.3627906976744185,0.2291666666666666,0,0.0,0.0
5148,2016,Donald Sloan,28,BRK,PG,61,33,0.4235924932975871,0.1779661016949152,0.1793893129770992,0.3444976076555023,0.1176470588235294,0.1212121212121212,0.384,0.1495327102803738,0.162037037037037,0.4032634032634035,0.4736842105263158,0.1188118811881188,0.1311475409836065,0.637155297532656,0.0399999999999999,0.2,0.1428571428571428,0.3739130434782609,0.1481481481481481,0.03125,0.2,0.2162162162162162,0.166189111747851,0,5124,1318,0.3782894736842105,0.4961439588688946,0.3215909090909091,0.2678207739307535,0.057471264367816,0.2932098765432099,0.1931330472103004,0.5107526881720431,0.2307692307692307,0.2,0.413907284768212,0.2706552706552707,0.2383720930232558,0.0638297872340425,0.1408450704225352,0.3740648379052368,0.4078212290502793,0.2027027027027027,0.2837209302325581,0.1875,0,0.0,0.0
8204,2009,Chris Paul,23,NOH,PG,78,78,0.876675603217158,0.652542372881356,0.5763358778625955,0.4952153110047846,0.1568627450980392,0.1742424242424242,0.364,0.6542056074766356,0.6111111111111112,0.5501165501165504,0.5550239234449762,0.5643564356435643,0.540983606557377,0.8084179970972423,0.16,0.3909090909090909,0.3181818181818181,0.9478260869565218,1.0,0.03125,0.509090909090909,0.6216216216216217,0.6189111747851003,MVP-5,8206,3002,0.9078947368421052,0.6580976863753213,0.1590909090909091,0.3910386965376782,0.1379310344827586,0.3271604938271605,0.2489270386266094,0.949820788530466,0.923076923076923,0.3,0.304635761589404,0.5954415954415955,0.9127906976744188,0.5638297872340425,0.9061032863849764,0.9251870324189524,0.8268156424581006,0.9054054054054052,0.8744186046511628,0.8680555555555556,MVP-5,1.0,0.0
7891,2010,Luke Ridnour,28,MIL,PG,82,0,0.420911528150134,0.3050847457627119,0.2824427480916031,0.4354066985645933,0.1568627450980392,0.1666666666666666,0.381,0.2710280373831776,0.2592592592592593,0.5221445221445222,0.5550239234449762,0.1386138613861386,0.1311475409836065,0.8650217706821481,0.0399999999999999,0.0999999999999999,0.0714285714285714,0.3391304347826087,0.2222222222222222,0.03125,0.2,0.4864864864864865,0.2636103151862464,0,7909,1759,0.5032894736842104,0.5835475578406167,0.3,0.1731160896130346,0.0632183908045977,0.1265432098765432,0.0729613733905579,0.5448028673835126,0.3333333333333333,0.3,0.2682119205298013,0.4387464387464388,0.3720930232558139,0.2659574468085107,0.3380281690140845,0.6159600997506234,0.5195530726256983,0.4594594594594594,0.4651162790697674,0.3055555555555556,0,0.0,0.0
3804,2019,Jarell Martin,24,ORL,PF,42,1,0.0536193029490616,0.0508474576271186,0.0572519083969465,0.2799043062200956,0.0980392156862745,0.106060606060606,0.351,0.0186915887850467,0.0231481481481481,0.4662004662004662,0.5119617224880383,0.0099009900990099,0.0163934426229508,0.7358490566037734,0.0399999999999999,0.0999999999999999,0.0714285714285714,0.0260869565217391,0.0,0.0625,0.0181818181818181,0.2162162162162162,0.0429799426934097,0,3744,328,0.2302631578947368,0.4755784061696658,0.6227272727272728,0.0733197556008146,0.1781609195402298,0.5092592592592593,0.3862660944206009,0.1129032258064516,0.0256410256410256,2.0,0.162251655629139,0.2649572649572649,0.1453488372093023,0.0744680851063829,0.0704225352112676,0.3790523690773066,0.217877094972067,0.3648648648648648,0.1813953488372092,0.1666666666666666,0,0.0,0.0
7301,2011,Kevin Durant,22,OKC,SF,78,78,0.8873994638069703,0.7372881355932204,0.7137404580152672,0.3971291866028709,0.3725490196078431,0.4015151515151515,0.35,0.6542056074766356,0.638888888888889,0.5011655011655012,0.5095693779904306,0.7425742574257426,0.7049180327868851,0.8258345428156748,0.1199999999999999,0.5181818181818182,0.4025974025974025,0.2260869565217391,0.3703703703703704,0.3125,0.4727272727272726,0.4324324324324324,0.7593123209169055,MVP-5,7307,3038,0.6973684210526315,0.6323907455012853,0.3056818181818182,0.4124236252545825,0.1091954022988505,0.4228395061728395,0.3175965665236052,0.2096774193548387,0.3076923076923076,1.8,0.2086092715231788,0.6837606837606838,0.6395348837209303,0.3829787234042553,0.6103286384976525,0.6683291770573565,0.7150837988826816,0.3513513513513513,0.5906976744186047,0.5486111111111112,MVP-5,1.0,0.0
7008,2012,Landry Fields,23,NYK,SG,66,62,0.6139410187667559,0.2711864406779661,0.2595419847328244,0.3923444976076554,0.0980392156862745,0.1363636363636363,0.256,0.2616822429906542,0.2453703703703704,0.5454545454545456,0.4641148325358851,0.1089108910891089,0.1639344262295081,0.3642960812772134,0.16,0.2636363636363636,0.2337662337662337,0.217391304347826,0.4074074074074074,0.09375,0.2363636363636363,0.2972972972972973,0.2177650429799427,0,6885,1894,0.3157894736842105,0.4190231362467865,0.2681818181818182,0.2372708757637474,0.1839080459770114,0.2932098765432099,0.2403433476394849,0.2329749103942653,0.4615384615384615,0.7,0.3576158940397351,0.2678062678062678,0.1860465116279069,0.3085106382978723,0.2065727699530516,0.4089775561097256,0.3631284916201117,0.5405405405405405,0.3627906976744185,0.25,0,0.0,0.0
